bowler_name,Country,overs,Maideins,Runs,Wicket,No_ball,wide,Economy,url
Ravindra Jadeja,India Innings,8.0,0,36,1,0,0,4.5,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
Ben Dwarshuis,Australia Innings,7.0,0,39,1,0,1,5.6,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
Nathan Ellis,Australia Innings,10.0,0,49,2,0,2,4.9,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
Cooper Connolly,Australia Innings,8.0,0,37,1,0,0,4.6,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
Adam Zampa,Australia Innings,10.0,0,60,2,0,0,6.0,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
Tanveer Sangha,Australia Innings,6.0,0,41,0,0,0,6.8,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
Glenn Maxwell,Australia Innings,6.1,0,35,0,0,0,5.7,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
Travis Head,Australia Innings,1.0,0,6,0,0,0,6.0,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
Matt Henry,New Zealand Innings,7.0,0,43,2,0,1,6.1,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
Kyle Jamieson,New Zealand Innings,7.0,1,57,0,0,0,8.1,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
William ORourke,New Zealand Innings,8.0,0,69,0,0,0,8.6,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
Michael Bracewell,New Zealand Innings,10.0,0,53,1,0,3,5.3,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
Mitchell Santner (c),New Zealand Innings,10.0,0,43,3,0,2,4.3,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
Rachin Ravindra,New Zealand Innings,5.0,0,20,1,0,0,4.0,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
Glenn Phillips,New Zealand Innings,3.0,0,27,2,0,1,9.0,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
Kyle Jamieson,New Zealand Innings,5.0,0,24,1,0,1,4.8,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
William ORourke,New Zealand Innings,7.0,0,56,0,0,4,8.0,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
Nathan Smith,New Zealand Innings,2.0,0,22,0,0,0,11.0,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
Mitchell Santner (c),New Zealand Innings,10.0,0,46,2,0,1,4.6,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
Rachin Ravindra,New Zealand Innings,10.0,1,47,1,0,2,4.7,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
Michael Bracewell,New Zealand Innings,10.0,1,28,2,0,0,2.8,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
Glenn Phillips,New Zealand Innings,5.0,0,31,0,0,0,6.2,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
